,Ticker,Name,Price,Change,Average Vol,Float,ATR
0,TGTX,"TG Therapeutics, Inc.",19.010000228881836,22.803623,4153800.0,146363008.86376464,0.6536411016415327
1,SYNH,"Syneos Health, Inc.",39.70000076293945,13.692348,1104420.0,103214987.23559733,1.1359744927822015
2,PKX,POSCO Holdings Inc.,74.29000091552734,9.3478565,401690.0,312569924.37520105,1.1620615445650542
3,WDC,Western Digital Corporation,38.040000915527344,8.221904,4154410.0,319328012.5038505,0.6116258181058444
4,MU,"Micron Technology, Inc.",63.290000915527344,8.043032,27585540.0,1094044237.6105638,0.9357742896446815
5,MSTR,MicroStrategy Incorporated,312.7799987792969,7.8179913,818280.0,12897900.1206743,5.002676939352964
6,COIN,"Coinbase Global, Inc.",66.13999938964844,7.633462,14290000.0,231438989.0120827,1.3285040733141777
7,SMG,The Scotts Miracle-Gro Company,76.5199966430664,7.0828633,851180.0,55941177.98994798,1.1209290333283253
8,MATX,"Matson, Inc.",60.33000183105469,6.158719,380850.0,36069401.72310547,0.5563460619021685
9,SMCI,"Super Micro Computer, Inc.",106.54000091552734,5.819844,1692180.0,53642235.694472186,1.186582320775741
10,FND,"Floor & Decor Holdings, Inc.",97.73999786376953,5.8021226,1249500.0,106463995.7789199,1.011238782833784
11,PXD,Pioneer Natural Resources Company,220.17999267578125,5.793619,2729080.0,235046711.27956003,3.426463787372296
12,PI,"Impinj, Inc.",135.89999389648438,5.6271343,289050.0,26193670.639245607,1.3392400497045271
13,W,Wayfair Inc.,35.38999938964844,5.1381154,4579080.0,110567241.01398385,0.5432771046956381
14,CAR,"Avis Budget Group, Inc.",190.63999938964844,5.098104,381660.0,39771128.28511524,2.3378438705053086
15,SAIA,"Saia, Inc.",267.1700134277344,5.0572658,347760.0,26506760.11556038,2.0319229517227564
16,CROX,"Crocs, Inc.",127.88999938964844,5.013951,1240940.0,61790329.358932085,0.9924300756209936
17,FWRD,Forward Air Corporation,107.80000305175781,4.9761424,115480.0,26101300.930845555,0.8240688030536358
18,SCHW,The Charles Schwab Corporation,51.72999954223633,4.8024373,31744710.0,1818358445.1648645,0.5173999101687701
19,LCII,LCI Industries,107.66000366210938,4.6878037,150950.0,25293298.489440594,0.9318950359637921
20,NTR,Nutrien Ltd.,71.18000030517578,4.675783,1869570.0,499883249.55672574,0.9205884688939804
21,FIVE,"Five Below, Inc.",216.92999267578125,4.675429,581490.0,55601823.515603736,1.940179678109976
22,GTLS,"Chart Industries, Inc.",111.52999877929688,4.5949,593380.0,42725232.1362398,1.028024135491787
23,CBRL,"Cracker Barrel Old Country Store, Inc.",118.18000030517578,4.48157,405460.0,22154547.108131398,1.095672607421875
24,RL,Ralph Lauren Corporation,116.9000015258789,4.328044,951830.0,65985043.723822184,0.9191026932153946
25,SWK,"Stanley Black & Decker, Inc.",77.4800033569336,4.2805223,1460000.0,153035247.0608007,0.5092951456705729
26,ARCB,ArcBest Corporation,93.36000061035156,4.2527127,216070.0,24268692.90046664,0.6407792507073818
27,SITM,SiTime Corporation,135.80999755859375,4.181389,143080.0,21658454.288175285,1.0405770326272035
28,PII,Polaris Inc.,107.01000213623047,4.053272,547400.0,57006502.777506515,0.787564693353115
29,HUBG,"Hub Group, Inc.",81.05000305175781,3.8451679,183410.0,33367240.89045357,0.5715589278783554
30,ATKR,Atkore Inc.,126.61000061035156,3.8228023,533380.0,39489098.74336756,1.1090162228315303
31,IRTC,"iRhythm Technologies, Inc.",129.39999389648438,3.7961504,287370.0,30199955.427557185,1.0953848423101964
32,FSLR,"First Solar, Inc.",212.0800018310547,3.677084,1472410.0,106797810.62074392,1.332458691719251
33,PVH,PVH Corp.,86.9000015258789,3.6754105,1716260.0,62698364.10045902,0.7143078339405549
34,BLDR,"Builders FirstSource, Inc.",88.62999725341797,3.612772,1926840.0,137996441.78064477,0.5459738511305589
35,LPLA,LPL Financial Holdings Inc.,197.52059936523438,3.570678,867170.0,78629839.97573681,1.3535277537810497
36,CTLT,"Catalent, Inc.",67.27999877929688,3.55659,1388620.0,180036477.93952277,0.5117967067620693
37,LECO,"Lincoln Electric Holdings, Inc.",159.57000732421875,3.482949,396430.0,57590278.43702578,0.8221505972055289
38,RVNC,"Revance Therapeutics, Inc.",31.459999084472656,-7.522773,1097490.0,83876750.56552634,0.6118883964342948
39,BIDU,"Baidu, Inc.",139.0,-4.131323,2739420.0,366275989.1798561,1.326967483911759
40,CIGI,Colliers International Group Inc.,98.9000015258789,-3.5306692,125220.0,43097358.6070642,1.181628202780699
41,WDFC,WD-40 Company,172.52999877929688,-3.50484,130640.0,13564134.797181834,3.4605302077073317
42,LEGN,Legend Biotech Corporation,49.814998626708984,-2.906186,603530.0,164951028.61639598,0.5891540233905499
43,KRYS,"Krystal Biotech, Inc.",82.12999725341797,-2.7491405,234750.0,25769061.229475714,0.9771356827173477
44,ALNY,"Alnylam Pharmaceuticals, Inc.",205.52000427246094,-2.6304579,853900.0,124175642.4166233,1.8375150240384615
45,SQ,"Block, Inc.",66.36609649658203,-2.555063,17386430.0,601970715.4850899,0.638580811329377
