,Ticker,Name,Price,Change,Average Vol,Float,ATR
0,BGNE,"BeiGene, Ltd.",238.10499572753906,12.476414,230860.0,104616362.69280075,4.545689509465144
1,AI,"C3.ai, Inc.",22.836299896240234,8.29777,40080010.0,112228181.7827218,0.5964205815241888
2,KRYS,"Krystal Biotech, Inc.",84.4000015258789,7.5305758,232330.0,25760645.60062055,1.0430126679249299
3,LEGN,Legend Biotech Corporation,51.310001373291016,6.4355454,578670.0,164938325.89147687,0.5753437922551081
4,CTLT,"Catalent, Inc.",64.94999694824219,5.40409,1369990.0,180089997.68423492,0.7837925935402895
5,ALNY,"Alnylam Pharmaceuticals, Inc.",211.0,5.0642357,822830.0,124218120.492891,1.6744676247621193
6,ROKU,"Roku, Inc.",64.07009887695312,4.58626,11424380.0,140130643.61337474,0.7354590098063151
7,MDGL,"Madrigal Pharmaceuticals, Inc.",248.17999267578125,4.578861,281480.0,18094150.264024153,2.314168685521835
8,FOXF,Fox Factory Holding Corp.,111.68000030517578,4.325079,259990.0,42301097.87867773,1.7788734436035156
9,BABA,Alibaba Group Holding Limited,102.75,4.25164,39803830.0,2587248226.4136252,0.7588780721028646
10,IMCR,Immunocore Holdings plc,50.5099983215332,4.182115,269740.0,48176363.35106763,0.6687500782502003
11,RXDX,"Prometheus Biosciences, Inc.",113.25,3.941793,400090.0,47366618.70198675,1.3274872608673878
12,RYAAY,Ryanair Holdings plc,94.05000305175781,3.8674035,291310.0,227613928.6908816,0.623166989057492
13,EWBC,"East West Bancorp, Inc.",53.040000915527344,3.8386192,1787720.0,140950827.12963167,0.5207885350936499
14,ARGX,argenx SE,387.3599853515625,3.799773,215220.0,55570501.564490445,2.806924281976162
15,GOOGL,Alphabet Inc.,108.4000015258789,3.7809868,31873630.0,12835767119.097544,0.7971001649514223
16,TTD,"The Trade Desk, Inc.",60.869998931884766,3.7687569,2852350.0,490633753.1797829,0.5157694205259665
17,GOOG,Alphabet Inc.,108.85240173339844,3.7637014,25244200.0,12782486762.798592,0.7775655893179086
18,SRPT,"Sarepta Therapeutics, Inc.",142.60000610351562,3.642584,966910.0,87951054.63667156,0.898379399226262
19,MNDY,monday.com Ltd.,133.72999572753906,3.4863904,536570.0,43765771.35263253,1.339938237116887
20,BMRN,BioMarin Pharmaceutical Inc.,99.63999938964844,3.137619,1083240.0,186454101.82459405,0.6336219005095654
21,BDRBF,Bombardier Inc.,51.0629997253418,3.11591,22540.0,94442899.04509169,0.8900731404622396
22,LEVI,Levi Strauss & Co.,15.130000114440918,-16.0288,4480510.0,396638986.028306,0.501543558560885
23,LITE,Lumentum Holdings Inc.,46.310001373291016,-9.7057085,1030570.0,68529583.80239555,0.994735619960687
24,FN,Fabrinet,102.63999938964844,-8.61163,251090.0,36601468.02747236,2.215772188626803
25,SMCI,"Super Micro Computer, Inc.",100.69999694824219,-6.794406,1743450.0,53631874.51510916,1.87767821091872
26,CVCO,"Cavco Industries, Inc.",277.3399963378906,-5.6542134,70960.0,8693072.992842663,3.6979248829377003
27,ABNB,"Airbnb, Inc.",109.66999816894531,-4.8985558,5244640.0,631444181.0176787,1.34113282423753
28,NTR,Nutrien Ltd.,68.0,-4.7879,1794120.0,499886501.64705884,0.6373004424266326
29,GTLS,"Chart Industries, Inc.",106.63999938964844,-4.39304,622900.0,42721402.19500258,0.6371946090306991
30,WIRE,Encore Wire Corporation,159.39500427246094,-4.2937837,218360.0,17961881.083211925,1.1777488512870593
31,ATKR,Atkore Inc.,121.87999725341797,-4.12898,508240.0,39511185.39974329,0.7937334500826322
32,FMC,FMC Corporation,116.94000244140625,-4.06958,779140.0,125120590.6493057,0.9075668530586438
33,SIG,Signet Jewelers Limited,71.9800033569336,-3.75769,706800.0,45215515.979640394,0.6365781930776743
34,RPM,RPM International Inc.,81.16999816894531,-3.72347,932520.0,128964773.14453064,0.9452630067482973
35,ARCH,"Arch Resources, Inc.",131.11000061035156,-3.58194,490160.0,18733541.3970403,0.7353433462289664
36,SWAV,"Shockwave Medical, Inc.",223.00999450683594,-3.4415574,406960.0,36501948.18398812,1.6289187700320513
37,WCC,"WESCO International, Inc.",133.8800048828125,-3.36244,598870.0,51118677.78904303,0.7597742325220352
38,ARW,"Arrow Electronics, Inc.",115.72000122070312,-3.32498,456780.0,57573899.42723264,0.6948485741248498
39,MPC,Marathon Petroleum Corporation,128.66000366210938,-3.03671,4204870.0,441694595.6044309,0.7866424169295874
40,WIX,Wix.com Ltd.,93.37999725341797,-3.0315597,566910.0,58799292.36985521,0.7764091491699219
41,PEN,"Penumbra, Inc.",274.2799987792969,-2.97625,279370.0,38162196.81560709,1.66845703125
42,LECO,"Lincoln Electric Holdings, Inc.",154.0399932861328,-2.945995,388260.0,57649846.39738647,0.739616198417468
43,PVH,PVH Corp.,83.80000305175781,-2.80677,1733210.0,62712800.389209084,0.5691079359788161
44,LRLCY,L'Oréal S.A.,89.80000305175781,-2.78229,72510.0,2675930027.9032254,0.6261691558055389
45,LGIH,"LGI Homes, Inc.",107.72000122070312,-2.7288306,207720.0,23501517.446264613,1.3093897501627605
46,CIEN,Ciena Corporation,50.459999084472656,-2.66101,2028810.0,149219125.33916348,0.7410999689346704
47,MTSI,"MACOM Technology Solutions Holdings, Inc.",63.83000183105469,-2.6227527,438030.0,70768143.85742846,0.5878206888834635
